,veg,prec,samp,bac,fun,fb
T014R_2,Grass,Reduced ,T1,2755012,1712615,0.621636131
T018X_2,Grass,Ambient ,T1,2676181,1792417,0.669766731
T020R_2,Grass,Reduced ,T1,1844286,2642743,1.432935564
T022X_2,Grass,Ambient ,T1,2307951,2167428,0.939113525
T025R_1,Shrub,Reduced ,T1,2801643,1662125,0.59326795
T027X_2,Shrub,Ambient ,T1,3464879,1008846,0.291163414
T032X_1,Shrub,Ambient ,T1,4182464,297269,0.071075089
T035R_1,Shrub,Reduced ,T1,2613565,1850011,0.707849623
T045R_2,Shrub,Reduced ,T1,3655402,820012,0.224328815
T046X_2,Shrub,Ambient ,T1,3153051,1308460,0.414982187
T047R_2,Shrub,Reduced ,T1,3093805,1317742,0.425929236
T048X_2,Shrub,Ambient ,T1,3810658,676427,0.177509239
T04X_2,Grass,Ambient ,T1,2365536,2094312,0.885343533
T05R_2,Grass,Reduced ,T1,3674388,801630,0.218166944
T07R_2,Grass,Reduced ,T1,3252669,1230897,0.378426763
T08X_2,Grass,Ambient ,T1,1662108,2818286,1.695609431
T314R_2,Grass,Reduced ,T2,4042933,429896,0.106332704
T318X_2,Grass,Ambient ,T2,3623483,851332,0.234948529
T320R_1,Grass,Reduced ,T2,3561222,903118,0.253597782
T322X_2,Grass,Ambient ,T2,4104612,366851,0.089375317
T325R_1,Shrub,Reduced ,T2,2990893,1470898,0.491792251
T327X_2,Shrub,Ambient ,T2,3711137,762447,0.205448357
T332X_2,Shrub,Ambient ,T2,3627632,833722,0.229825407
T335R_2,Shrub,Reduced ,T2,3745165,736676,0.196700546
T345R_2,Shrub,Reduced ,T2,3482751,988468,0.283818166
T346X_2,Shrub,Ambient ,T2,3622872,843618,0.232858903
T347R_2,Shrub,Reduced ,T2,4238160,234267,0.055275638
T348X_2,Shrub,Ambient ,T2,3375322,1097758,0.3252306
T34X_1,Grass,Ambient ,T2,3632837,840908,0.231474189
T35R_2,Grass,Reduced ,T2,3420597,1048681,0.306578355
T37R_2,Grass,Reduced ,T2,3332049,1135280,0.340715278
T38X_2,Grass,Ambient ,T2,3753315,725508,0.193297925
T514R_1,Grass,Reduced ,T3,3793008,658176,0.173523494
T518X_2,Grass,Ambient ,T3,3942296,520240,0.131963708
T520R_2,Grass,Reduced ,T3,3937493,522596,0.13272303
T522X_1,Grass,Ambient ,T3,4258257,208882,0.049053404
T525R_2,Shrub,Reduced ,T3,3698865,764042,0.206561202
T527X_1,Shrub,Ambient ,T3,3878355,585342,0.150925328
T532X_2,Shrub,Ambient ,T3,4116403,360331,0.087535404
T535R_1,Shrub,Reduced ,T3,3844032,625128,0.162622996
T545R_2,Shrub,Reduced ,T3,3410387,1053436,0.308890457
T546X_2,Shrub,Ambient ,T3,3357178,1113329,0.331626443
T547R_2,Shrub,Reduced ,T3,3866122,603442,0.156084573
T548X_2,Shrub,Ambient ,T3,3617906,856603,0.236767622
T54X_1,Grass,Ambient ,T3,4094759,374878,0.091550687
T55R_1,Grass,Reduced ,T3,3869150,561124,0.145025135
T57R_2,Grass,Reduced ,T3,3357787,1118001,0.332957689
T58X_2,Grass,Ambient ,T3,2767908,1702774,0.615184464
T614R_1,Grass,Reduced ,T4,4018425,457370,0.113818225
T618X_2,Grass,Ambient ,T4,4156512,310365,0.074669579
T620R_1,Grass,Reduced ,T4,3930493,547203,0.13921994
T622X_2,Grass,Ambient ,T4,4201772,272457,0.064843357
T625R_1,Shrub,Reduced ,T4,3937819,525625,0.133481249
T627X_2,Shrub,Ambient ,T4,4121873,355584,0.086267578
T632X_2,Shrub,Ambient ,T4,4040431,440526,0.109029458
T635R_1,Shrub,Reduced ,T4,3760387,697763,0.185556167
T645R_2,Shrub,Reduced ,T4,3906533,574893,0.147161946
T646X_2,Shrub,Ambient ,T4,4037564,438453,0.108593449
T647R_2,Shrub,Reduced ,T4,3937055,534227,0.135692034
T648X_2,Shrub,Ambient ,T4,4128967,349214,0.084576602
T64X_1,Grass,Ambient ,T4,4253200,221631,0.052109235
T65R_1,Grass,Reduced ,T4,3935148,538926,0.136951901
T67R_2,Grass,Reduced ,T4,4199009,276488,0.065846013
T68X_2,Grass,Ambient ,T4,4251204,219308,0.051587268