id,time,label,veg,prec,ag,ap,bg,bx,cbh,lap,nag,enzyme_c
5,T1,18RXX,Grassland,Ambient,3.172038496,54.31869194,100.0501051,38.62299023,59.46839634,12.30611297,64.36282832,201.3135302
13,T1,22LXX,Grassland,Ambient,1.910608932,21.77687303,94.87994375,24.50678321,55.12721446,2.990377084,30.4382682,176.4245503
49,T1,4LXX,Grassland,Ambient,4.384088289,29.11051624,112.8484488,40.17872655,65.62073138,6.083750069,32.21273594,223.031995
61,T1,8LXX,Grassland,Ambient,2.653226203,12.3077826,50.77754396,13.16276419,23.35026973,2.1346402,14.52100436,89.94380409
6,T2,18RXX,Grassland,Ambient,3.103120818,26.19964088,100.1065971,48.09091967,49.36504731,9.262715789,49.45304088,200.6656849
14,T2,22LXX,Grassland,Ambient,3.553804594,19.27491041,98.10483274,19.5527315,37.27609941,9.967947264,47.02754839,158.4874682
50,T2,4LXX,Grassland,Ambient,4.556823543,45.70443806,89.8517467,44.88991591,59.27622569,11.65369426,54.4134153,198.5747118
62,T2,8LXX,Grassland,Ambient,2.34613352,17.38120157,78.07469256,18.09489353,29.33546386,5.571918319,19.04436156,127.8511835
7,T3,18RXX,Grassland,Ambient,2.303916054,19.39323973,78.41463144,15.53939491,30.24623334,19.73383799,18.54736363,126.5041758
15,T3,22LXX,Grassland,Ambient,3.424345959,15.79798996,57.41466743,14.93204643,29.1640544,12.43799682,31.81286642,104.9351142
51,T3,4LXX,Grassland,Ambient,5.935268571,33.11386742,186.4234602,36.76756642,95.68857101,56.0894269,55.53059064,324.8148662
63,T3,8LXX,Grassland,Ambient,2.244553738,22.38592165,114.9824806,25.20731649,54.22311435,2.334212386,33.37154677,196.6574652
8,T4,18RXX,Grassland,Ambient,1.770357136,9.588119655,46.70757378,6.939108567,15.83159161,7.678912452,25.1616979,71.2486311
16,T4,22LXX,Grassland,Ambient,2.294131066,9.779484753,41.09767347,8.094735858,18.42732153,8.771927495,27.39317976,69.91386192
52,T4,4LXX,Grassland,Ambient,3.395993631,26.64946407,156.8420379,,59.35637777,15.79376844,63.39027337,225.7046939
64,T4,8LXX,Grassland,Ambient,1.57570968,4.604235143,44.27311123,6.110284571,18.14665358,5.046042434,15.95711193,71.04351749
21,T1,27RXX,Shrubland,Ambient,,6.824215558,14.56221218,1.227108468,1.428950525,2.484252262,5.131179076,17.29141185
25,T1,32RXX,Shrubland,Ambient,0.073140676,,9.094640389,0.186081347,1.114062291,,0.948130297,11.05387926
37,T1,46RXX,Shrubland,Ambient,,15.61203091,9.275276272,,1.183450992,,1.095288453,13.0462961
45,T1,48LXX,Shrubland,Ambient,0.65909523,11.14827631,20.62394293,2.221450881,3.786792057,6.785636005,3.194322835,25.98839984
22,T2,27RXX,Shrubland,Ambient,2.835594351,29.21705556,53.79753862,9.331599138,8.66518028,11.3273972,13.35883686,74.62991239
26,T2,32RXX,Shrubland,Ambient,8.732049856,,48.17799633,8.586045799,8.966137067,2.074473018,13.73195452,74.46222905
38,T2,46RXX,Shrubland,Ambient,7.492241086,38.48669469,,,9.679104975,3.374056907,14.5587458,61.56976661
46,T2,48LXX,Shrubland,Ambient,2.448599421,,35.43959808,,6.540762683,0.784719141,4.018127755,63.75322891
23,T3,27RXX,Shrubland,Ambient,1.193570151,9.8178818,20.6565736,2.921967171,4.803373553,2.093234957,5.477164585,29.57548447
27,T3,32RXX,Shrubland,Ambient,2.563983949,15.83440125,67.60919191,15.53378526,19.93809527,5.749251718,23.19780633,105.6450564
39,T3,46RXX,Shrubland,Ambient,2.85435957,8.793333429,24.64524973,,5.427526124,2.970105187,10.38791878,36.44036789
47,T3,48LXX,Shrubland,Ambient,1.411407478,10.97240834,18.18326693,3.513232474,3.728785492,6.161143248,4.297064692,30.64645487
24,T4,27RXX,Shrubland,Ambient,1.011109101,6.424836131,14.81224237,2.758782291,3.939249461,1.500558709,4.675330545,22.52138322
28,T4,32RXX,Shrubland,Ambient,1.531105271,5.795537894,18.08624543,6.973632825,4.218320929,1.819853722,6.70580793,30.80930445
40,T4,46RXX,Shrubland,Ambient,0.727600618,5.07661205,20.19121812,3.123844236,6.301980323,1.311333674,6.131691186,30.34464329
48,T4,48LXX,Shrubland,Ambient,,6.426541404,32.75100307,,5.593883647,1.460947085,5.277342525,43.72024483
1,T1,14RRX,Grassland,Reduced,2.297688657,18.16429405,101.4495285,17.64179287,122.7862029,4.90028156,39.30743431,244.1752129
9,T1,20LRX,Grassland,Reduced,1.564390764,6.11254446,172.3104512,12.31110586,114.7752372,3.973472625,34.32961513,300.961185
53,T1,5RRX,Grassland,Reduced,2.156890668,8.869117648,111.2698278,26.99482886,81.04311875,5.81584687,40.72332678,221.4646661
57,T1,7LRX,Grassland,Reduced,6.702450872,9.834105285,113.3252861,16.68751337,69.06452468,8.174838017,44.82869503,205.7797751
2,T2,14RRX,Grassland,Reduced,2.86767079,9.741803744,85.85440743,,44.43848402,8.319440861,34.11089547,153.1476163
10,T2,20LRX,Grassland,Reduced,4.037923575,37.66084091,95.77674953,19.98705401,52.76151004,6.472384968,43.91354364,171.3085955
54,T2,5RRX,Grassland,Reduced,7.252561988,51.49888717,146.8015802,18.73241231,62.20788781,76.33866784,71.27111766,240.9027418
58,T2,7LRX,Grassland,Reduced,4.75313441,35.18925149,99.0969178,24.64071175,61.95274801,8.247788797,54.95093835,186.9228596
3,T3,14RRX,Grassland,Reduced,3.084975141,13.93299808,145.269505,30.79720702,55.44582085,10.74928758,36.93409939,234.597508
11,T3,20LRX,Grassland,Reduced,2.925878836,60.25503266,102.8314776,27.61403873,56.57261305,14.27951311,47.28217391,189.9440082
55,T3,5RRX,Grassland,Reduced,6.424005501,37.34077338,167.0516046,21.37898898,70.92405335,68.81413508,61.62204984,265.7786524
59,T3,7LRX,Grassland,Reduced,2.805975532,17.06417691,119.1180548,21.08683603,52.86279728,11.55774484,50.09632835,195.8736637
4,T4,14RRX,Grassland,Reduced,2.717595013,13.38392263,68.08863345,11.38847508,35.70299472,7.899788664,47.04897635,117.8976983
12,T4,20LRX,Grassland,Reduced,1.842903815,14.8842273,54.42781352,11.69866969,30.11787414,4.368178119,35.20179186,98.08726117
56,T4,5RRX,Grassland,Reduced,1.682019825,11.65397279,50.61461239,8.468908358,22.01402347,5.268222911,31.09694059,82.77956404
60,T4,7LRX,Grassland,Reduced,2.293499325,12.45751491,56.8582428,8.207278161,24.5227281,7.061145736,34.49584752,91.88174839
17,T1,25LRX,Shrubland,Reduced,,3.568255965,34.06494875,1.271165815,4.961448705,,2.769781927,40.79925714
29,T1,35LRX,Shrubland,Reduced,0.50169387,8.255658374,25.31135389,9.136408783,11.47679421,0.776649934,4.663805914,46.19800617
33,T1,45LRX,Shrubland,Reduced,0.273449288,7.338703041,17.71766699,1.476217884,3.449134879,6.04318872,2.197480318,22.82674618
41,T1,47RRX,Shrubland,Reduced,0.183726421,7.522667097,32.31479452,24.27383213,15.272573,1.972670513,4.143536115,72.18082285
18,T2,25LRX,Shrubland,Reduced,1.684130169,29.74162736,30.633013,,10.19760505,27.57087747,5.333836053,61.47008298
30,T2,35LRX,Shrubland,Reduced,1.938365443,35.5222352,29.4478026,18.95533476,9.963910134,,6.792879138,60.8635542
34,T2,45LRX,Shrubland,Reduced,3.706315417,48.17489612,56.21032343,19.51347603,12.89864413,2.51542649,14.57512386,78.12355897
42,T2,47RRX,Shrubland,Reduced,1.842237603,12.26624856,29.36674179,5.308275984,19.46953462,4.809817852,6.901027932,65.27087626
19,T3,25LRX,Shrubland,Reduced,2.192017359,15.23581062,32.78943562,7.19306158,8.444509589,5.369962011,84.46387335,50.61902415
31,T3,35LRX,Shrubland,Reduced,3.827205875,19.59793322,92.38334511,20.42923456,30.9307364,12.06346323,37.35633289,147.5705219
35,T3,45LRX,Shrubland,Reduced,2.0290403,13.01130074,38.93804006,7.007701615,10.04089119,2.999226426,8.589240288,58.01567317
43,T3,47RRX,Shrubland,Reduced,1.593885083,21.55286187,32.79159509,6.036560195,7.513018577,4.574591014,8.723547209,47.93505895
20,T4,25LRX,Shrubland,Reduced,0.779804338,7.211003212,11.98885829,1.707689578,2.160060882,,3.621708438,16.63641309
32,T4,35LRX,Shrubland,Reduced,1.776622315,8.282250507,22.46063559,3.163670036,5.172767303,,3.060761573,32.57369525
36,T4,45LRX,Shrubland,Reduced,2.462672893,17.31066834,42.08059799,8.056678496,10.95359071,1.49492525,9.533795791,63.55354009
44,T4,47RRX,Shrubland,Reduced,1.505107103,10.94195204,26.54416916,7.611437565,8.077610031,1.462247381,8.844200479,43.73832386